uuid,min_x,min_y,max_x,max_y,start_date,end_date,geometry
c5ecb081-6006-4ba2-a920-510d2d477fad,8.0859375,48.341646172374595,8.26171875,48.45835188280866,2020-05-01,2020-05-31,"POLYGON ((8.0859375 48.341646172374595, 8.0859375 48.45835188280866, 8.26171875 48.45835188280866, 8.26171875 48.341646172374595, 8.0859375 48.341646172374595))"
e3411b48-aac2-4d0c-89f3-6abe7d634433,8.26171875,48.2246726495652,8.4375,48.341646172374595,2020-05-01,2020-05-31,"POLYGON ((8.26171875 48.2246726495652, 8.26171875 48.341646172374595, 8.4375 48.341646172374595, 8.4375 48.2246726495652, 8.26171875 48.2246726495652))"
5f06b07d-f8de-4d0d-b893-53a57b2d9a53,8.26171875,48.341646172374595,8.4375,48.45835188280866,2020-05-01,2020-05-31,"POLYGON ((8.26171875 48.341646172374595, 8.26171875 48.45835188280866, 8.4375 48.45835188280866, 8.4375 48.341646172374595, 8.26171875 48.341646172374595))"
4295794a-c85a-4b4d-99d1-babdf3619a77,7.910156249999998,48.57478991092886,8.0859375,48.6909603909255,2020-05-01,2020-05-31,"POLYGON ((7.910156249999998 48.57478991092886, 7.910156249999998 48.6909603909255, 8.0859375 48.6909603909255, 8.0859375 48.57478991092886, 7.910156249999998 48.57478991092886))"
d97dd058-cc37-45a4-afd1-b78b577a2796,7.910156249999998,48.6909603909255,8.0859375,48.80686346108518,2020-05-01,2020-05-31,"POLYGON ((7.910156249999998 48.6909603909255, 7.910156249999998 48.80686346108518, 8.0859375 48.80686346108518, 8.0859375 48.6909603909255, 7.910156249999998 48.6909603909255))"
3c963191-a6a0-421e-9023-13196c4de5e8,8.0859375,48.45835188280866,8.26171875,48.57478991092886,2020-05-01,2020-05-31,"POLYGON ((8.0859375 48.45835188280866, 8.0859375 48.57478991092886, 8.26171875 48.57478991092886, 8.26171875 48.45835188280866, 8.0859375 48.45835188280866))"
3bd0c9a9-b9c7-4177-8434-f28403491d6f,8.0859375,48.57478991092886,8.26171875,48.6909603909255,2020-05-01,2020-05-31,"POLYGON ((8.0859375 48.57478991092886, 8.0859375 48.6909603909255, 8.26171875 48.6909603909255, 8.26171875 48.57478991092886, 8.0859375 48.57478991092886))"
284569e5-aad4-45b1-9f50-c47e660a115f,8.26171875,48.45835188280866,8.4375,48.57478991092886,2020-05-01,2020-05-31,"POLYGON ((8.26171875 48.45835188280866, 8.26171875 48.57478991092886, 8.4375 48.57478991092886, 8.4375 48.45835188280866, 8.26171875 48.45835188280866))"
43235eb6-e1e3-421c-b2dd-2f51c6249196,8.26171875,48.57478991092886,8.4375,48.6909603909255,2020-05-01,2020-05-31,"POLYGON ((8.26171875 48.57478991092886, 8.26171875 48.6909603909255, 8.4375 48.6909603909255, 8.4375 48.57478991092886, 8.26171875 48.57478991092886))"
cd8aa17f-ee61-421d-bebd-455303369791,8.0859375,48.6909603909255,8.26171875,48.80686346108518,2020-05-01,2020-05-31,"POLYGON ((8.0859375 48.6909603909255, 8.0859375 48.80686346108518, 8.26171875 48.80686346108518, 8.26171875 48.6909603909255, 8.0859375 48.6909603909255))"
abb2dc11-dadb-4d0a-bea3-8a4d9d4853b8,8.0859375,48.80686346108518,8.26171875,48.92249926375824,2020-05-01,2020-05-31,"POLYGON ((8.0859375 48.80686346108518, 8.0859375 48.92249926375824, 8.26171875 48.92249926375824, 8.26171875 48.80686346108518, 8.0859375 48.80686346108518))"
5e0c1e8e-91fb-49c0-853c-e4511d0af8c6,8.26171875,48.6909603909255,8.4375,48.80686346108518,2020-05-01,2020-05-31,"POLYGON ((8.26171875 48.6909603909255, 8.26171875 48.80686346108518, 8.4375 48.80686346108518, 8.4375 48.6909603909255, 8.26171875 48.6909603909255))"
bc3acef0-a4ab-4e67-b540-e9489746c9c5,8.26171875,48.80686346108518,8.4375,48.92249926375824,2020-05-01,2020-05-31,"POLYGON ((8.26171875 48.80686346108518, 8.26171875 48.92249926375824, 8.4375 48.92249926375824, 8.4375 48.80686346108518, 8.26171875 48.80686346108518))"
46b906db-ac51-4897-bb00-d055f67199f0,8.4375,48.2246726495652,8.61328125,48.341646172374595,2020-05-01,2020-05-31,"POLYGON ((8.4375 48.2246726495652, 8.4375 48.341646172374595, 8.61328125 48.341646172374595, 8.61328125 48.2246726495652, 8.4375 48.2246726495652))"
e6f9cca1-c10a-4c19-98ac-9b348e613b09,8.4375,48.341646172374595,8.61328125,48.45835188280866,2020-05-01,2020-05-31,"POLYGON ((8.4375 48.341646172374595, 8.4375 48.45835188280866, 8.61328125 48.45835188280866, 8.61328125 48.341646172374595, 8.4375 48.341646172374595))"
5f3e6b36-5596-4618-be9e-dfdfb2e25088,8.61328125,48.341646172374595,8.789062499999998,48.45835188280866,2020-05-01,2020-05-31,"POLYGON ((8.61328125 48.341646172374595, 8.61328125 48.45835188280866, 8.789062499999998 48.45835188280866, 8.789062499999998 48.341646172374595, 8.61328125 48.341646172374595))"
27e4d582-1a7a-4b4b-8b97-cd8f6b1439bb,8.789062499999998,48.341646172374595,8.96484375,48.45835188280866,2020-05-01,2020-05-31,"POLYGON ((8.789062499999998 48.341646172374595, 8.789062499999998 48.45835188280866, 8.96484375 48.45835188280866, 8.96484375 48.341646172374595, 8.789062499999998 48.341646172374595))"
ac573441-ac98-463b-b065-dee7a66c476f,8.4375,48.45835188280866,8.61328125,48.57478991092886,2020-05-01,2020-05-31,"POLYGON ((8.4375 48.45835188280866, 8.4375 48.57478991092886, 8.61328125 48.57478991092886, 8.61328125 48.45835188280866, 8.4375 48.45835188280866))"
