uuid,min_x,min_y,max_x,max_y,start_date,end_date,geometry
6e55f3c1-1075-4f74-89e4-6b35d1d81e4a,9.843749999999998,50.40151532278236,10.019531249999998,50.51342652633955,2023-05-01,2023-06-01,"POLYGON ((9.843749999999998 50.40151532278236, 9.843749999999998 50.51342652633955, 10.019531249999998 50.51342652633955, 10.019531249999998 50.40151532278236, 9.843749999999998 50.40151532278236))"
1832e6c8-c2a2-46b0-bc2b-0b427ead43d1,10.019531249999998,50.28933925329178,10.1953125,50.40151532278236,2023-05-01,2023-06-01,"POLYGON ((10.019531249999998 50.28933925329178, 10.019531249999998 50.40151532278236, 10.1953125 50.40151532278236, 10.1953125 50.28933925329178, 10.019531249999998 50.28933925329178))"
5004dce7-9f31-4bf7-8d13-a66a6a2da24c,10.019531249999998,50.40151532278236,10.1953125,50.51342652633955,2023-05-01,2023-06-01,"POLYGON ((10.019531249999998 50.40151532278236, 10.019531249999998 50.51342652633955, 10.1953125 50.51342652633955, 10.1953125 50.40151532278236, 10.019531249999998 50.40151532278236))"
c8406bc7-8deb-4fdd-ac55-78e25107ac05,10.019531249999998,50.51342652633955,10.1953125,50.625073063414355,2023-05-01,2023-06-01,"POLYGON ((10.019531249999998 50.51342652633955, 10.019531249999998 50.625073063414355, 10.1953125 50.625073063414355, 10.1953125 50.51342652633955, 10.019531249999998 50.51342652633955))"
8019e087-4871-4b63-9497-81206643b5eb,10.1953125,50.28933925329178,10.371093750000002,50.40151532278236,2023-05-01,2023-06-01,"POLYGON ((10.1953125 50.28933925329178, 10.1953125 50.40151532278236, 10.371093750000002 50.40151532278236, 10.371093750000002 50.28933925329178, 10.1953125 50.28933925329178))"
f20ed655-6029-42ef-a347-5c3214e607cf,10.1953125,50.40151532278236,10.371093750000002,50.51342652633955,2023-05-01,2023-06-01,"POLYGON ((10.1953125 50.40151532278236, 10.1953125 50.51342652633955, 10.371093750000002 50.51342652633955, 10.371093750000002 50.40151532278236, 10.1953125 50.40151532278236))"
745c36d8-0113-4279-a443-e3fcd1a8231c,10.371093750000002,50.28933925329178,10.546875,50.40151532278236,2023-05-01,2023-06-01,"POLYGON ((10.371093750000002 50.28933925329178, 10.371093750000002 50.40151532278236, 10.546875 50.40151532278236, 10.546875 50.28933925329178, 10.371093750000002 50.28933925329178))"
8307c64d-3622-42b1-bcfc-e48e5a85dc08,10.371093750000002,50.40151532278236,10.546875,50.51342652633955,2023-05-01,2023-06-01,"POLYGON ((10.371093750000002 50.40151532278236, 10.371093750000002 50.51342652633955, 10.546875 50.51342652633955, 10.546875 50.40151532278236, 10.371093750000002 50.40151532278236))"
6fb7ff7c-daf9-430b-bffb-e5b2c15869d2,10.1953125,50.51342652633955,10.371093750000002,50.625073063414355,2023-05-01,2023-06-01,"POLYGON ((10.1953125 50.51342652633955, 10.1953125 50.625073063414355, 10.371093750000002 50.625073063414355, 10.371093750000002 50.51342652633955, 10.1953125 50.51342652633955))"
442b7617-d01e-47a4-994f-9080b64a3ad7,10.546875,49.83798245308484,10.72265625,49.95121990866203,2023-05-01,2023-06-01,"POLYGON ((10.546875 49.83798245308484, 10.546875 49.95121990866203, 10.72265625 49.95121990866203, 10.72265625 49.83798245308484, 10.546875 49.83798245308484))"
811416c8-a65c-4f6c-b251-38a79e04614d,10.546875,49.95121990866203,10.72265625,50.06419173665909,2023-05-01,2023-06-01,"POLYGON ((10.546875 49.95121990866203, 10.546875 50.06419173665909, 10.72265625 50.06419173665909, 10.72265625 49.95121990866203, 10.546875 49.95121990866203))"
1617c3c6-f713-4f60-a07b-c8706de30a75,10.72265625,49.83798245308484,10.8984375,49.95121990866203,2023-05-01,2023-06-01,"POLYGON ((10.72265625 49.83798245308484, 10.72265625 49.95121990866203, 10.8984375 49.95121990866203, 10.8984375 49.83798245308484, 10.72265625 49.83798245308484))"
5df26663-1467-46c7-a946-490e446ed207,10.72265625,49.95121990866203,10.8984375,50.06419173665909,2023-05-01,2023-06-01,"POLYGON ((10.72265625 49.95121990866203, 10.72265625 50.06419173665909, 10.8984375 50.06419173665909, 10.8984375 49.95121990866203, 10.72265625 49.95121990866203))"
3cec8ee6-59ff-41f7-bfc9-bccca4a2e127,10.546875,50.06419173665909,10.72265625,50.17689812200106,2023-05-01,2023-06-01,"POLYGON ((10.546875 50.06419173665909, 10.546875 50.17689812200106, 10.72265625 50.17689812200106, 10.72265625 50.06419173665909, 10.546875 50.06419173665909))"
21096612-9c93-417b-bc01-54adde23838c,10.546875,50.17689812200106,10.72265625,50.28933925329178,2023-05-01,2023-06-01,"POLYGON ((10.546875 50.17689812200106, 10.546875 50.28933925329178, 10.72265625 50.28933925329178, 10.72265625 50.17689812200106, 10.546875 50.17689812200106))"
aefd9199-1b39-423c-8548-1481afc47a4d,10.72265625,50.06419173665909,10.8984375,50.17689812200106,2023-05-01,2023-06-01,"POLYGON ((10.72265625 50.06419173665909, 10.72265625 50.17689812200106, 10.8984375 50.17689812200106, 10.8984375 50.06419173665909, 10.72265625 50.06419173665909))"
a2856314-1bdb-4069-96c7-0bf38e053dd3,10.72265625,50.17689812200106,10.8984375,50.28933925329178,2023-05-01,2023-06-01,"POLYGON ((10.72265625 50.17689812200106, 10.72265625 50.28933925329178, 10.8984375 50.28933925329178, 10.8984375 50.17689812200106, 10.72265625 50.17689812200106))"
80523375-f6af-44f6-be87-4babc92f0f7d,10.8984375,49.83798245308484,11.074218749999998,49.95121990866203,2023-05-01,2023-06-01,"POLYGON ((10.8984375 49.83798245308484, 10.8984375 49.95121990866203, 11.074218749999998 49.95121990866203, 11.074218749999998 49.83798245308484, 10.8984375 49.83798245308484))"
c77c3825-59e7-409a-8b5d-c4aac098a821,10.8984375,49.95121990866203,11.074218749999998,50.06419173665909,2023-05-01,2023-06-01,"POLYGON ((10.8984375 49.95121990866203, 10.8984375 50.06419173665909, 11.074218749999998 50.06419173665909, 11.074218749999998 49.95121990866203, 10.8984375 49.95121990866203))"
0401cf9d-3e0b-426e-9ffc-72c6c2465c52,11.074218749999998,49.83798245308484,11.25,49.95121990866203,2023-05-01,2023-06-01,"POLYGON ((11.074218749999998 49.83798245308484, 11.074218749999998 49.95121990866203, 11.25 49.95121990866203, 11.25 49.83798245308484, 11.074218749999998 49.83798245308484))"
